"","NAME","CLASS","SAMPLE","IS","chemsc","C","db","MASS","ERROR","ISpmol"
"TAG(39:2)_TAGODD","TAG(39:2)_TAGODD","TACG_sat",1,0,"H80 C42 O6 N1","39",2,"694.5972","-1.15 ppm",359.5
"TAG(39:1)_TAGODD","TAG(39:1)_TAGODD","TACG_sat",1,0,"H82 C42 O6 N1","39",1,"696.6128","-1.17 ppm",359.5
"TAG(39:0)_TAGODD","TAG(39:0)_TAGODD","TACG_unsat",1,0,"H84 C42 O6 N1","39",0,"698.629","-0.42 ppm",359.5
"TAG(41:8)_TAGODD","TAG(41:8)_TAGODD","TACG_sat",1,0,"H72 C44 O6 N1","41",8,"710.5356","0.25 ppm",359.5
"TAG(41:7)_TAGODD","TAG(41:7)_TAGODD","TACG_sat",1,0,"H74 C44 O6 N1","41",7,"712.5511","0.05 ppm",359.5
"TAG(41:6)_TAGODD","TAG(41:6)_TAGODD","TACG_sat",1,0,"H76 C44 O6 N1","41",6,"714.5648","-2.63 ppm",359.5
"TAG(41:5)_TAGODD","TAG(41:5)_TAGODD","TACG_sat",1,0,"H78 C44 O6 N1","41",5,"716.5803","-2.84 ppm",359.5
"TAG(41:4)_TAGODD","TAG(41:4)_TAGODD","TACG_sat",1,0,"H80 C44 O6 N1","41",4,"718.5935","-6.32 ppm",359.5
"TAG(41:3)_TAGODD","TAG(41:3)_TAGODD","TACG_sat",1,0,"H82 C44 O6 N1","41",3,"720.6128","-1.26 ppm",359.5
"TAG(41:2)_TAGODD","TAG(41:2)_TAGODD","TACG_sat",1,0,"H84 C44 O6 N1","41",2,"722.6293","-0.01 ppm",359.5
"TAG(41:1)_TAGODD","TAG(41:1)_TAGODD","TACG_sat",1,0,"H86 C44 O6 N1","41",1,"724.6453","0.51 ppm",359.5
"TAG(41:0)_TAGODD","TAG(41:0)_TAGODD","TACG_unsat",1,0,"H88 C44 O6 N1","41",0,"726.6606","-0.06 ppm",359.5
"TAG(43:10)_TAGODD","TAG(43:10)_TAGODD","TACG_sat",1,0,"H72 C46 O6 N1","43",10,"734.5334","-2.76 ppm",359.5
"TAG(43:9)_TAGODD","TAG(43:9)_TAGODD","TACG_sat",1,0,"H74 C46 O6 N1","43",9,"736.5515","0.65 ppm",359.5
"TAG(43:8)_TAGODD","TAG(43:8)_TAGODD","TACG_sat",1,0,"H76 C46 O6 N1","43",8,"738.5639","-3.86 ppm",359.5
"TAG(43:6)_TAGODD","TAG(43:6)_TAGODD","TACG_sat",1,0,"H80 C46 O6 N1","43",6,"742.595","-4.04 ppm",359.5
"TAG(43:5)_TAGODD","TAG(43:5)_TAGODD","TACG_sat",1,0,"H82 C46 O6 N1","43",5,"744.6124","-1.68 ppm",359.5
"TAG(43:4)_TAGODD","TAG(43:4)_TAGODD","TACG_sat",1,0,"H84 C46 O6 N1","43",4,"746.6251","-5.68 ppm",359.5
"TAG(43:3)_TAGODD","TAG(43:3)_TAGODD","TACG_sat",1,0,"H86 C46 O6 N1","43",3,"748.6416","-4.45 ppm",359.5
"TAG(43:2)_TAGODD","TAG(43:2)_TAGODD","TACG_sat",1,0,"H88 C46 O6 N1","43",2,"750.6558","-6.43 ppm",359.5
"TAG(43:1)_TAGODD","TAG(43:1)_TAGODD","TACG_sat",1,0,"H90 C46 O6 N1","43",1,"752.6759","-0.52 ppm",359.5
"TAG(43:0)_TAGODD","TAG(43:0)_TAGODD","TACG_unsat",1,0,"H92 C46 O6 N1","43",0,"754.692","0.05 ppm",359.5
"TAG(45:10)_TAGODD","TAG(45:10)_TAGODD","TACG_sat",1,0,"H76 C48 O6 N1","45",10,"762.5644","-3.02 ppm",359.5
"TAG(45:9)_TAGODD","TAG(45:9)_TAGODD","TACG_sat",1,0,"H78 C48 O6 N1","45",9,"764.5817","-0.88 ppm",359.5
"TAG(45:8)_TAGODD","TAG(45:8)_TAGODD","TACG_sat",1,0,"H80 C48 O6 N1","45",8,"766.5941","-5.16 ppm",359.5
"TAG(45:7)_TAGODD","TAG(45:7)_TAGODD","TACG_sat",1,0,"H82 C48 O6 N1","45",7,"768.6114","-2.89 ppm",359.5
"TAG(45:6)_TAGODD","TAG(45:6)_TAGODD","TACG_sat",1,0,"H84 C48 O6 N1","45",6,"770.6272","-2.70 ppm",359.5
"TAG(45:5)_TAGODD","TAG(45:5)_TAGODD","TACG_sat",1,0,"H86 C48 O6 N1","45",5,"772.64","-6.48 ppm",359.5
"TAG(45:4)_TAGODD","TAG(45:4)_TAGODD","TACG_sat",1,0,"H88 C48 O6 N1","45",4,"774.6557","-6.37 ppm",359.5
"TAG(45:3)_TAGODD","TAG(45:3)_TAGODD","TACG_sat",1,0,"H90 C48 O6 N1","45",3,"776.6747","-2.04 ppm",359.5
"TAG(45:2)_TAGODD","TAG(45:2)_TAGODD","TACG_sat",1,0,"H92 C48 O6 N1","45",2,"778.6906","-1.71 ppm",359.5
"TAG(45:1)_TAGODD","TAG(45:1)_TAGODD","TACG_sat",1,0,"H94 C48 O6 N1","45",1,"780.7081","0.67 ppm",359.5
"TAG(45:0)_TAGODD","TAG(45:0)_TAGODD","TACG_unsat",1,0,"H96 C48 O6 N1","45",0,"782.7208","-3.04 ppm",359.5
"TAG(47:10)_TAGODD","TAG(47:10)_TAGODD","TACG_sat",1,0,"H80 C50 O6 N1","47",10,"790.5924","-7.05 ppm",359.5
"TAG(47:9)_TAGODD","TAG(47:9)_TAGODD","TACG_sat",1,0,"H82 C50 O6 N1","47",9,"792.609","-5.82 ppm",359.5
"TAG(47:8)_TAGODD","TAG(47:8)_TAGODD","TACG_sat",1,0,"H84 C50 O6 N1","47",8,"794.6259","-4.27 ppm",359.5
"TAG(47:7)_TAGODD","TAG(47:7)_TAGODD","TACG_sat",1,0,"H86 C50 O6 N1","47",7,"796.6432","-2.26 ppm",359.5
"TAG(47:6)_TAGODD","TAG(47:6)_TAGODD","TACG_sat",1,0,"H88 C50 O6 N1","47",6,"798.6559","-5.90 ppm",359.5
"TAG(47:5)_TAGODD","TAG(47:5)_TAGODD","TACG_sat",1,0,"H90 C50 O6 N1","47",5,"800.6737","-3.24 ppm",359.5
"TAG(47:4)_TAGODD","TAG(47:4)_TAGODD","TACG_sat",1,0,"H92 C50 O6 N1","47",4,"802.689","-3.68 ppm",359.5
"TAG(47:3)_TAGODD","TAG(47:3)_TAGODD","TACG_sat",1,0,"H94 C50 O6 N1","47",3,"804.7086","1.28 ppm",359.5
"TAG(47:2)_TAGODD","TAG(47:2)_TAGODD","TACG_sat",1,0,"H96 C50 O6 N1","47",2,"806.7228","-0.49 ppm",359.5
"TAG(47:1)_TAGODD","TAG(47:1)_TAGODD","TACG_sat",1,0,"H98 C50 O6 N1","47",1,"808.7395","0.80 ppm",359.5
"TAG(47:0)_TAGODD","TAG(47:0)_TAGODD","TACG_unsat",1,0,"H100 C50 O6 N1","47",0,"810.7538","-0.89 ppm",359.5
"TAG(49:10)_TAGODD","TAG(49:10)_TAGODD","TACG_sat",1,0,"H84 C52 O6 N1","49",10,"818.6253","-4.89 ppm",359.5
"TAG(49:9)_TAGODD","TAG(49:9)_TAGODD","TACG_sat",1,0,"H86 C52 O6 N1","49",9,"820.6402","-5.76 ppm",359.5
"TAG(49:8)_TAGODD","TAG(49:8)_TAGODD","TACG_sat",1,0,"H88 C52 O6 N1","49",8,"822.6574","-3.85 ppm",359.5
"TAG(49:7)_TAGODD","TAG(49:7)_TAGODD","TACG_sat",1,0,"H90 C52 O6 N1","49",7,"824.674","-2.73 ppm",359.5
"TAG(49:6)_TAGODD","TAG(49:6)_TAGODD","TACG_sat",1,0,"H92 C52 O6 N1","49",6,"826.6875","-5.33 ppm",359.5
"TAG(49:5)_TAGODD","TAG(49:5)_TAGODD","TACG_sat",1,0,"H94 C52 O6 N1","49",5,"828.704","-4.26 ppm",359.5
"TAG(49:4)_TAGODD","TAG(49:4)_TAGODD","TACG_sat",1,0,"H96 C52 O6 N1","49",4,"830.7217","-1.81 ppm",359.5
"TAG(49:3)_TAGODD","TAG(49:3)_TAGODD","TACG_sat",1,0,"H98 C52 O6 N1","49",3,"832.7393","0.46 ppm",359.5
"TAG(49:2)_TAGODD","TAG(49:2)_TAGODD","TACG_sat",1,0,"H100 C52 O6 N1","49",2,"834.7547","0.18 ppm",359.5
"TAG(49:1)_TAGODD","TAG(49:1)_TAGODD","TACG_sat",1,0,"H102 C52 O6 N1","49",1,"836.7707","0.62 ppm",359.5
"TAG(49:0)_TAGODD","TAG(49:0)_TAGODD","TACG_unsat",1,0,"H104 C52 O6 N1","49",0,"838.7858","0.03 ppm",359.5
"TAG(51:10)_TAGODD","TAG(51:10)_TAGODD","TACG_sat",1,0,"H88 C54 O6 N1","51",10,"846.657","-4.24 ppm",359.5
"TAG(51:8)_TAGODD","TAG(51:8)_TAGODD","TACG_sat",1,0,"H92 C54 O6 N1","51",8,"850.6973","6.31 ppm",359.5
"TAG(51:7)_TAGODD","TAG(51:7)_TAGODD","TACG_sat",1,0,"H94 C54 O6 N1","51",7,"852.7021","-6.41 ppm",359.5
"TAG(51:5)_TAGODD","TAG(51:5)_TAGODD","TACG_sat",1,0,"H98 C54 O6 N1","51",5,"856.7367","-2.52 ppm",359.5
"TAG(51:4)_TAGODD","TAG(51:4)_TAGODD","TACG_sat",1,0,"H100 C54 O6 N1","51",4,"858.7537","-0.93 ppm",359.5
"TAG(51:3)_TAGODD","TAG(51:3)_TAGODD","TACG_sat",1,0,"H102 C54 O6 N1","51",3,"860.7702","-0.01 ppm",359.5
"TAG(51:2)_TAGODD","TAG(51:2)_TAGODD","TACG_sat",1,0,"H104 C54 O6 N1","51",2,"862.7862","0.45 ppm",359.5
"TAG(51:1)_TAGODD","TAG(51:1)_TAGODD","TACG_sat",1,0,"H106 C54 O6 N1","51",1,"864.8027","1.42 ppm",359.5
"TAG(51:0)_TAGODD","TAG(51:0)_TAGODD","TACG_unsat",1,0,"H108 C54 O6 N1","51",0,"866.8127","-5.15 ppm",359.5
"TAG(53:9)_TAGODD","TAG(53:9)_TAGODD","TACG_sat",1,0,"H94 C56 O6 N1","53",9,"876.7014","-7.02 ppm",359.5
"TAG(53:8)_TAGODD","TAG(53:8)_TAGODD","TACG_sat",1,0,"H96 C56 O6 N1","53",8,"878.7173","-6.79 ppm",359.5
"TAG(53:7)_TAGODD","TAG(53:7)_TAGODD","TACG_sat",1,0,"H98 C56 O6 N1","53",7,"880.7426","4.20 ppm",359.5
"TAG(53:6)_TAGODD","TAG(53:6)_TAGODD","TACG_sat",1,0,"H100 C56 O6 N1","53",6,"882.7515","-3.42 ppm",359.5
"TAG(53:5)_TAGODD","TAG(53:5)_TAGODD","TACG_sat",1,0,"H102 C56 O6 N1","53",5,"884.7674","-3.12 ppm",359.5
"TAG(53:4)_TAGODD","TAG(53:4)_TAGODD","TACG_sat",1,0,"H104 C56 O6 N1","53",4,"886.7832","-2.97 ppm",359.5
"TAG(53:3)_TAGODD","TAG(53:3)_TAGODD","TACG_sat",1,0,"H106 C56 O6 N1","53",3,"888.7992","-2.50 ppm",359.5
"TAG(53:2)_TAGODD","TAG(53:2)_TAGODD","TACG_sat",1,0,"H108 C56 O6 N1","53",2,"890.8154","-1.92 ppm",359.5
"TAG(53:1)_TAGODD","TAG(53:1)_TAGODD","TACG_sat",1,0,"H110 C56 O6 N1","53",1,"892.8318","-1.09 ppm",359.5
"TAG(53:0)_TAGODD","TAG(53:0)_TAGODD","TACG_unsat",1,0,"H112 C56 O6 N1","53",0,"894.8469","-1.75 ppm",359.5
"TAG(55:7)_TAGODD","TAG(55:7)_TAGODD","TACG_sat",1,0,"H102 C58 O6 N1","55",7,"908.7717","1.65 ppm",359.5
"TAG(55:6)_TAGODD","TAG(55:6)_TAGODD","TACG_sat",1,0,"H104 C58 O6 N1","55",6,"910.7865","0.76 ppm",359.5
"TAG(55:5)_TAGODD","TAG(55:5)_TAGODD","TACG_sat",1,0,"H106 C58 O6 N1","55",5,"912.8029","1.56 ppm",359.5
"TAG(55:4)_TAGODD","TAG(55:4)_TAGODD","TACG_sat",1,0,"H108 C58 O6 N1","55",4,"914.8185","1.46 ppm",359.5
"TAG(55:3)_TAGODD","TAG(55:3)_TAGODD","TACG_sat",1,0,"H110 C58 O6 N1","55",3,"916.8343","1.71 ppm",359.5
"TAG(55:2)_TAGODD","TAG(55:2)_TAGODD","TACG_sat",1,0,"H112 C58 O6 N1","55",2,"918.85","1.72 ppm",359.5
"TAG(55:1)_TAGODD","TAG(55:1)_TAGODD","TACG_sat",1,0,"H114 C58 O6 N1","55",1,"920.8641","0.07 ppm",359.5
"TAG(55:0)_TAGODD","TAG(55:0)_TAGODD","TACG_unsat",1,0,"H116 C58 O6 N1","55",0,"922.8806","0.92 ppm",359.5
"TAG(57:10)_TAGODD","TAG(57:10)_TAGODD","TACG_sat",1,0,"H100 C60 O6 N1","57",10,"930.7483","-6.64 ppm",359.5
"TAG(57:9)_TAGODD","TAG(57:9)_TAGODD","TACG_sat",1,0,"H102 C60 O6 N1","57",9,"932.7681","-2.26 ppm",359.5
"TAG(57:8)_TAGODD","TAG(57:8)_TAGODD","TACG_sat",1,0,"H104 C60 O6 N1","57",8,"934.7857","-0.10 ppm",359.5
"TAG(57:7)_TAGODD","TAG(57:7)_TAGODD","TACG_sat",1,0,"H106 C60 O6 N1","57",7,"936.8017","0.27 ppm",359.5
"TAG(57:6)_TAGODD","TAG(57:6)_TAGODD","TACG_sat",1,0,"H108 C60 O6 N1","57",6,"938.8179","0.87 ppm",359.5
"TAG(57:5)_TAGODD","TAG(57:5)_TAGODD","TACG_sat",1,0,"H110 C60 O6 N1","57",5,"940.8336","0.87 ppm",359.5
"TAG(57:4)_TAGODD","TAG(57:4)_TAGODD","TACG_sat",1,0,"H112 C60 O6 N1","57",4,"942.8495","1.16 ppm",359.5
"TAG(57:3)_TAGODD","TAG(57:3)_TAGODD","TACG_sat",1,0,"H114 C60 O6 N1","57",3,"944.8647","0.71 ppm",359.5
"TAG(57:2)_TAGODD","TAG(57:2)_TAGODD","TACG_sat",1,0,"H116 C60 O6 N1","57",2,"946.8797","-0.03 ppm",359.5
"TAG(57:1)_TAGODD","TAG(57:1)_TAGODD","TACG_sat",1,0,"H118 C60 O6 N1","57",1,"948.8948","-0.59 ppm",359.5
"TAG(57:0)_TAGODD","TAG(57:0)_TAGODD","TACG_unsat",1,0,"H120 C60 O6 N1","57",0,"950.9117","0.76 ppm",359.5
"TAG(59:10)_TAGODD","TAG(59:10)_TAGODD","TACG_sat",1,0,"H104 C62 O6 N1","59",10,"958.7842","-1.72 ppm",359.5
"TAG(59:9)_TAGODD","TAG(59:9)_TAGODD","TACG_sat",1,0,"H106 C62 O6 N1","59",9,"960.8009","-0.58 ppm",359.5
"TAG(59:8)_TAGODD","TAG(59:8)_TAGODD","TACG_sat",1,0,"H108 C62 O6 N1","59",8,"962.8167","-0.41 ppm",359.5
"TAG(59:7)_TAGODD","TAG(59:7)_TAGODD","TACG_sat",1,0,"H110 C62 O6 N1","59",7,"964.8328","0.04 ppm",359.5
"TAG(59:6)_TAGODD","TAG(59:6)_TAGODD","TACG_sat",1,0,"H112 C62 O6 N1","59",6,"966.8486","0.21 ppm",359.5
"TAG(59:5)_TAGODD","TAG(59:5)_TAGODD","TACG_sat",1,0,"H114 C62 O6 N1","59",5,"968.865","0.96 ppm",359.5
"TAG(59:4)_TAGODD","TAG(59:4)_TAGODD","TACG_sat",1,0,"H116 C62 O6 N1","59",4,"970.8795","-0.19 ppm",359.5
"TAG(59:3)_TAGODD","TAG(59:3)_TAGODD","TACG_sat",1,0,"H118 C62 O6 N1","59",3,"972.8959","0.55 ppm",359.5
"TAG(59:2)_TAGODD","TAG(59:2)_TAGODD","TACG_sat",1,0,"H120 C62 O6 N1","59",2,"974.9105","-0.57 ppm",359.5
"TAG(59:1)_TAGODD","TAG(59:1)_TAGODD","TACG_sat",1,0,"H122 C62 O6 N1","59",1,"976.9261","-0.59 ppm",359.5
"TAG(59:0)_TAGODD","TAG(59:0)_TAGODD","TACG_unsat",1,0,"H124 C62 O6 N1","59",0,"978.9423","-0.03 ppm",359.5
"TAG(61:10)_TAGODD","TAG(61:10)_TAGODD","TACG_sat",1,0,"H108 C64 O6 N1","61",10,"986.8172","0.10 ppm",359.5
"TAG(61:9)_TAGODD","TAG(61:9)_TAGODD","TACG_sat",1,0,"H110 C64 O6 N1","61",9,"988.8317","-1.12 ppm",359.5
"TAG(61:8)_TAGODD","TAG(61:8)_TAGODD","TACG_sat",1,0,"H112 C64 O6 N1","61",8,"990.849","0.58 ppm",359.5
"TAG(61:7)_TAGODD","TAG(61:7)_TAGODD","TACG_sat",1,0,"H114 C64 O6 N1","61",7,"992.8646","0.56 ppm",359.5
"TAG(61:6)_TAGODD","TAG(61:6)_TAGODD","TACG_sat",1,0,"H116 C64 O6 N1","61",6,"994.8795","-0.18 ppm",359.5
"TAG(61:5)_TAGODD","TAG(61:5)_TAGODD","TACG_sat",1,0,"H118 C64 O6 N1","61",5,"996.8962","0.82 ppm",359.5
"TAG(61:4)_TAGODD","TAG(61:4)_TAGODD","TACG_sat",1,0,"H120 C64 O6 N1","61",4,"998.9093","-1.72 ppm",359.5
"TAG(61:3)_TAGODD","TAG(61:3)_TAGODD","TACG_sat",1,0,"H122 C64 O6 N1","61",3,"1000.9234","-3.26 ppm",359.5
"TAG(61:2)_TAGODD","TAG(61:2)_TAGODD","TACG_sat",1,0,"H124 C64 O6 N1","61",2,"1002.946","3.63 ppm",359.5
"TAG(61:1)_TAGODD","TAG(61:1)_TAGODD","TACG_sat",1,0,"H126 C64 O6 N1","61",1,"1004.9604","2.42 ppm",359.5
"TAG(61:0)_TAGODD","TAG(61:0)_TAGODD","TACG_unsat",1,0,"H128 C64 O6 N1","61",0,"1006.9704","-3.17 ppm",359.5
"TAG(63:10)_TAGODD","TAG(63:10)_TAGODD","TACG_sat",1,0,"H112 C66 O6 N1","63",10,"1014.8441","-4.22 ppm",359.5
"TAG(63:9)_TAGODD","TAG(63:9)_TAGODD","TACG_sat",1,0,"H114 C66 O6 N1","63",9,"1016.8578","-6.14 ppm",359.5
"TAG(63:8)_TAGODD","TAG(63:8)_TAGODD","TACG_sat",1,0,"H116 C66 O6 N1","63",8,"1018.8823","2.55 ppm",359.5
"TAG(63:7)_TAGODD","TAG(63:7)_TAGODD","TACG_sat",1,0,"H118 C66 O6 N1","63",7,"1020.8979","2.45 ppm",359.5
"TAG(63:6)_TAGODD","TAG(63:6)_TAGODD","TACG_sat",1,0,"H120 C66 O6 N1","63",6,"1022.9117","0.66 ppm",359.5
"TAG(63:5)_TAGODD","TAG(63:5)_TAGODD","TACG_sat",1,0,"H122 C66 O6 N1","63",5,"1024.9317","4.95 ppm",359.5
"TAG(63:4)_TAGODD","TAG(63:4)_TAGODD","TACG_sat",1,0,"H124 C66 O6 N1","63",4,"1026.9432","0.82 ppm",359.5
"TAG(63:3)_TAGODD","TAG(63:3)_TAGODD","TACG_sat",1,0,"H126 C66 O6 N1","63",3,"1028.9596","1.59 ppm",359.5
"TAG(63:2)_TAGODD","TAG(63:2)_TAGODD","TACG_sat",1,0,"H128 C66 O6 N1","63",2,"1030.9742","0.56 ppm",359.5
"TAG(63:1)_TAGODD","TAG(63:1)_TAGODD","TACG_sat",1,0,"H130 C66 O6 N1","63",1,"1032.986","-3.13 ppm",359.5
"TAG(65:10)_TAGODD","TAG(65:10)_TAGODD","TACG_sat",1,0,"H116 C68 O6 N1","65",10,"1042.8729","-6.51 ppm",359.5
"TAG(65:9)_TAGODD","TAG(65:9)_TAGODD","TACG_sat",1,0,"H118 C68 O6 N1","65",9,"1044.8882","-6.84 ppm",359.5
"TAG(65:7)_TAGODD","TAG(65:7)_TAGODD","TACG_sat",1,0,"H122 C68 O6 N1","65",7,"1048.9313","4.38 ppm",359.5
"TAG(65:6)_TAGODD","TAG(65:6)_TAGODD","TACG_sat",1,0,"H124 C68 O6 N1","65",6,"1050.9467","4.15 ppm",359.5
"TAG(65:5)_TAGODD","TAG(65:5)_TAGODD","TACG_sat",1,0,"H126 C68 O6 N1","65",5,"1052.9527","-5.02 ppm",359.5
"TAG(65:4)_TAGODD","TAG(65:4)_TAGODD","TACG_sat",1,0,"H128 C68 O6 N1","65",4,"1054.974","0.37 ppm",359.5
"TAG(65:3)_TAGODD","TAG(65:3)_TAGODD","TACG_sat",1,0,"H130 C68 O6 N1","65",3,"1056.9905","1.16 ppm",359.5
"TAG(67:10)_TAGODD","TAG(67:10)_TAGODD","TACG_sat",1,0,"H120 C70 O6 N1","67",10,"1070.9052","-5.44 ppm",359.5
"TAG(67:8)_TAGODD","TAG(67:8)_TAGODD","TACG_sat",1,0,"H124 C70 O6 N1","67",8,"1074.9464","3.79 ppm",359.5
"TAG(67:7)_TAGODD","TAG(67:7)_TAGODD","TACG_sat",1,0,"H126 C70 O6 N1","67",7,"1076.9639","5.52 ppm",359.5
"TAG(67:6)_TAGODD","TAG(67:6)_TAGODD","TACG_sat",1,0,"H128 C70 O6 N1","67",6,"1078.9717","-1.78 ppm",359.5
"TAG(67:5)_TAGODD","TAG(67:5)_TAGODD","TACG_sat",1,0,"H130 C70 O6 N1","67",5,"1080.9894","0.09 ppm",359.5
